

New Mexico (MST) SCAN Site Jornada Exp Range - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Dec 21 09:49:51 GMT-08:00 2021. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),SMS.I-2:-2 (pct)  (loam),SMS.I-2:-4 (pct)  (loam),SMS.I-2:-8 (pct)  (loam),SMS.I-2:-20 (pct)  (loam),SMS.I-2:-40 (pct)  (loam),SMS.I-3:-2 (pct)  (loam),SMS.I-3:-4 (pct)  (loam),SMS.I-3:-8 (pct)  (loam),SMS.I-3:-20 (pct)  (loam),SMS.I-3:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,STO.I-2:-2 (degC) ,STO.I-2:-4 (degC) ,STO.I-2:-8 (degC) ,STO.I-2:-20 (degC) ,STO.I-2:-40 (degC) ,STO.I-3:-2 (degC) ,STO.I-3:-4 (degC) ,STO.I-3:-8 (degC) ,STO.I-3:-20 (degC) ,STO.I-3:-40 (degC) ,STO.I-4:-2 (degC) ,STO.I-4:-4 (degC) ,STO.I-4:-8 (degC) ,STO.I-4:-20 (degC) ,STO.I-4:-40 (degC) ,STO.I-5:-2 (degC) ,STO.I-5:-4 (degC) ,STO.I-5:-8 (degC) ,STO.I-5:-20 (degC) ,STO.I-5:-40 (degC) ,STO.I-6:-2 (degC) ,STO.I-6:-4 (degC) ,STO.I-6:-8 (degC) ,STO.I-6:-20 (degC) ,STO.I-6:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-1:-40 (gram) ,SAL.I-2:-2 (gram) ,SAL.I-2:-4 (gram) ,SAL.I-2:-8 (gram) ,SAL.I-2:-20 (gram) ,SAL.I-2:-40 (gram) ,SAL.I-3:-2 (gram) ,SAL.I-3:-4 (gram) ,SAL.I-3:-8 (gram) ,SAL.I-3:-20 (gram) ,SAL.I-3:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-1:-40 (unit) ,RDC.I-2:-2 (unit) ,RDC.I-2:-4 (unit) ,RDC.I-2:-8 (unit) ,RDC.I-2:-20 (unit) ,RDC.I-2:-40 (unit) ,RDC.I-3:-2 (unit) ,RDC.I-3:-4 (unit) ,RDC.I-3:-8 (unit) ,RDC.I-3:-20 (unit) ,RDC.I-3:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,WDIRV.D-1 (degr) ,WSPDV.D-1 (mph) ,RHUM.I-1 (pct) ,RHENC.D-1 (pct) ,LRADT.D-1 (lang) ,
2168,2021-01-01,,-99.9,  -36.20,    -3.9,     9.5,   -12.2,    -1.9,   0.000,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     5.5,-99.9,     2.9,     5.9,     3.2,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    -5.8,    -0.5,     4.5,     9.1,-99.9,    -3.5,-99.9,     3.8,     7.3,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     9.2,-99.9,    -2.6,     1.2,     4.1,     7.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     0.3,-99.9,     0.2,     0.6,     0.3,     0.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    4.59,-99.9,    3.66,    4.76,    3.74,   25.71,-99.9,   12.71,    3.43,     108,     3.0,      40,      53,-99.9,
2168,2021-01-02,,-99.9,  -36.20,    -8.4,     9.5,    -9.9,    -1.2,   0.000,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     6.6,-99.9,     2.8,     6.0,     3.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    -7.7,    -1.4,     4.4,     8.5,-99.9,    -4.8,-99.9,     3.7,     6.7,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     8.8,-99.9,    -3.7,     1.0,     4.0,     6.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     0.2,-99.9,     0.2,     0.6,     0.2,     0.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    5.05,-99.9,    3.59,    4.79,    3.97,   25.83,-99.9,   12.70,    3.43,     350,     3.5,      39,      45,-99.9,
2168,2021-01-03,,-99.9,  -36.20,    -1.6,    12.5,   -13.0,    -0.3,   0.000,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     6.1,-99.9,     2.7,     6.8,     3.7,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    -4.0,     0.7,     4.4,     8.1,-99.9,    -2.5,-99.9,     3.5,     6.3,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     8.5,-99.9,    -1.6,     1.9,     3.9,     6.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     0.2,-99.9,     0.2,     0.5,     0.2,     0.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    4.84,-99.9,    3.58,    5.12,    3.91,   25.67,-99.9,   12.73,    3.44,     157,     4.3,      39,      44,-99.9,
2168,2021-01-04,,-99.9,  -36.20,    -1.2,    13.3,   -11.2,     2.2,   0.000,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     6.8,-99.9,     2.7,     6.2,     3.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    -2.3,     2.0,     5.0,     8.0,-99.9,    -1.2,-99.9,     3.9,     6.2,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     8.3,-99.9,    -0.4,     2.6,     4.2,     6.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     0.2,-99.9,     0.2,     0.5,     0.2,     0.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    5.14,-99.9,    3.59,    4.90,    3.81,   25.80,-99.9,   12.75,    3.44,     121,     3.9,      34,      42,-99.9,
2168,2021-01-05,,-99.9,  -36.20,    -1.1,    15.8,    -8.1,     3.2,   0.000,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     5.7,-99.9,     2.7,     4.8,     3.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    -2.6,     2.1,     5.7,     8.1,-99.9,    -1.3,-99.9,     4.3,     6.3,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     8.3,-99.9,    -0.5,     2.9,     4.7,     6.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     0.2,-99.9,     0.2,     0.6,     0.2,     0.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    4.68,-99.9,    3.58,    4.33,    3.98,   25.27,-99.9,   12.72,    3.43,     148,     3.2,      42,      39,-99.9,
2168,2021-01-06,,-99.9,  -36.20,    -2.9,    17.3,    -6.6,     4.0,   0.000,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     6.7,-99.9,     2.5,     5.7,     3.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    -3.4,     2.0,     5.8,     8.1,-99.9,    -1.7,-99.9,     4.5,     6.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     8.4,-99.9,    -0.8,     3.1,     4.9,     6.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     0.2,-99.9,     0.2,     0.6,     0.2,     0.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    5.07,-99.9,    3.51,    4.68,    3.87,   25.67,-99.9,   12.72,    3.43,     132,     4.7,      40,      39,-99.9,
2168,2021-01-07,,-99.9,  -36.20,    -5.2,    13.5,    -8.2,     2.2,   0.000,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     6.7,-99.9,     2.5,     7.2,     3.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    -5.5,     0.2,     5.2,     8.1,-99.9,    -3.4,-99.9,     4.0,     6.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     8.4,-99.9,    -2.5,     1.8,     4.3,     6.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     0.2,-99.9,     0.1,     0.5,     0.2,     0.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    5.07,-99.9,    3.52,    5.29,    3.97,   25.67,-99.9,   12.71,    3.43,      10,     3.7,      31,      39,-99.9,
2168,2021-01-08,,-99.9,  -36.20,    -3.7,    15.3,    -9.9,     1.4,   0.000,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     6.1,-99.9,     2.1,     6.2,     3.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    -4.3,     1.0,     5.1,     8.0,-99.9,    -2.7,-99.9,     3.8,     6.2,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     8.3,-99.9,    -1.8,     2.0,     4.1,     6.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     0.2,-99.9,     0.2,     0.5,     0.2,     0.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    4.84,-99.9,    3.37,    4.90,    3.81,   25.80,-99.9,   12.71,    3.43,      96,     2.2,      30,      34,-99.9,
2168,2021-01-09,,-99.9,  -36.20,    -2.0,    16.3,    -7.9,     2.9,   0.000,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     6.1,-99.9,     2.1,     6.8,     4.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    -2.5,     2.0,     5.5,     7.8,-99.9,    -1.4,-99.9,     4.1,     6.1,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     8.2,-99.9,    -0.6,     2.7,     4.5,     6.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     0.2,-99.9,     0.2,     0.5,     0.2,     0.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    4.84,-99.9,    3.37,    5.11,    4.04,   25.80,-99.9,   12.73,    3.44,     122,     3.4,      30,      34,-99.9,
2168,2021-01-10,,-99.9,  -36.20,    -0.8,    15.2,    -5.2,     5.0,   0.000,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     5.4,-99.9,     2.1,     6.5,     4.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    -0.6,     3.8,     6.4,     8.1,-99.9,     1.4,-99.9,     5.1,     6.3,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     8.3,-99.9,     2.2,     4.6,     5.5,     6.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     0.3,-99.9,     0.2,     0.5,     0.2,     0.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    4.58,-99.9,    3.36,    5.00,    4.03,   25.80,-99.9,   12.73,    3.44,     192,     7.5,      74,      39,-99.9,
