year,month,month_date,tmax,tmin,pet,monthly_precip,n_days,climatic_balance,spei
2010,1,2010-01-15,12.280645161290323,-5.348387096774194,50.8067266107359,20.066,31,-30.7407266107359,1.0095335196451256
2010,2,2010-02-15,14.157142857142857,-2.3392857142857144,62.52566111467291,6.35,28,-56.175661114672906,0.8431878754819034
2010,3,2010-03-15,18.2,-0.8548387096774194,103.77004440692485,3.0479999999999996,31,-100.72204440692485,0.7366121834986665
2010,4,2010-04-15,24.34,5.056666666666667,147.44523215573102,4.826,30,-142.61923215573103,0.5935324219474768
2010,5,2010-05-15,28.725806451612904,7.758064516129032,192.99202790009582,0,31,-192.99202790009582,-0.40403560030645097
2010,6,2010-06-15,35.663333333333334,15.063333333333333,228.58583498762673,13.716,30,-214.86983498762672,-0.08169442262698111
2010,7,2010-07-15,33.464516129032255,18.629032258064516,199.44651779105828,63.246,31,-136.20051779105827,0.34711450273539135
2010,8,2010-08-15,33.829032258064515,17.748387096774195,190.7951757189971,43.434,31,-147.3611757189971,0.030475973514429072
2010,9,2010-09-15,32.06333333333333,14.97,155.8316729452206,5.334,30,-150.4976729452206,-1.270091303504073
2010,10,2010-10-15,26.196774193548386,7.622580645161291,112.80337462603386,9.652,31,-103.15137462603386,0.004921782958392525
2010,11,2010-11-15,18.31,-2.813333333333333,68.0623372984098,0,30,-68.0623372984098,-0.4056713339137014
2010,12,2010-12-15,16.90967741935484,-3.832258064516129,58.534681223032415,1.27,31,-57.26468122303241,-1.3903174398000073
2011,1,2011-01-15,13.816129032258065,-9.019354838709678,54.921240045778305,0,31,-54.921240045778305,-0.6778880399876691
2011,2,2011-02-15,14.375,-5.835714285714285,64.42249422704812,0.254,28,-64.16849422704811,0.16930132636240758
2011,3,2011-03-15,23.2,1.3935483870967742,126.20760781522223,0,31,-126.20760781522223,-1.2279681044244464
2011,4,2011-04-15,26.553333333333335,6.796666666666667,158.32142914606248,0,30,-158.32142914606248,-1.0581972589187087
2011,5,2011-05-15,28.47741935483871,8.403225806451612,189.8744555456856,0,31,-189.8744555456856,-0.2052912426658716
2011,6,2011-06-15,36.48,15.853333333333333,232.99081158261689,6.35,30,-226.6408115826169,-0.8863548372901618
2011,7,2011-07-15,35.58387096774194,20.429032258064517,210.59122086935932,37.592,31,-172.9992208693593,-0.6316132711249605
2011,8,2011-08-15,35.72258064516129,19.448387096774194,199.8519315932156,24.384,31,-175.4679315932156,-0.7333051983841992
2011,9,2011-09-15,31.796666666666667,14.866666666666667,154.39095816028725,9.906,30,-144.48495816028725,-0.7302033837883587
2011,10,2011-10-15,26.15806451612903,5.361290322580645,115.40703866467899,1.016,31,-114.39103866467899,-0.8821031549527238
2011,11,2011-11-15,17.736666666666665,-0.8966666666666666,65.60561678553385,5.842,30,-59.763616785533856,0.3919711022892074
2011,12,2011-12-15,8.919354838709678,-5.058064516129032,38.95344314593727,42.163999999999994,31,3.210556854062723,1.8873518115885812
2012,1,2012-01-15,15.703225806451613,-3.261290322580645,59.522329175376065,13.97,31,-45.552329175376066,0.2731385203192877
2012,2,2012-02-15,15.906896551724138,-2.2517241379310344,68.14196845638722,1.27,29,-66.87196845638722,-0.11085069522101994
2012,3,2012-03-15,21.454838709677418,-1.1580645161290324,119.34603521563379,1.27,31,-118.0760352156338,-0.37383768234556264
2012,4,2012-04-15,27.04,5.45,163.43996104295724,0,30,-163.43996104295724,-1.4999573185748658
2012,5,2012-05-15,29.780645161290323,11.093548387096774,193.29083437256418,19.812,31,-173.47883437256417,0.7416210312293592
2012,6,2012-06-15,36.46,14.846666666666666,235.71363267075478,0,30,-235.71363267075478,-1.6395342814596159
2012,7,2012-07-15,33.83225806451613,18.77741935483871,202.098106359784,37.846,31,-164.252106359784,-0.4036362152685358
2012,8,2012-08-15,34.74193548387097,18.770967741935483,194.36490715838536,34.797999999999995,31,-159.56690715838536,-0.2843225901890488
